"subj" "group" "tree" "cat" "rt"
15 0 2 5 2461
15 0 3 7 3087
15 0 2 4 8415
15 0 6 12 6505
15 0 5 11 2574
15 0 4 9 5530
15 0 7 15 2567
15 0 5 11 4659
15 0 7 15 6099
15 0 4 8 3913
15 0 0 0 11535
15 0 4 8 3874
15 0 6 12 3755
15 0 6 13 2918
15 0 2 4 4837
15 0 7 15 6085
15 0 3 7 5578
15 0 6 12 3692
15 0 3 6 3164
15 0 0 0 3472
15 0 0 0 6161
15 0 2 5 3211
15 0 5 10 7398
15 0 6 12 5878
15 0 5 11 5205
15 0 4 8 4830
15 0 4 8 5559
16 0 7 15 3169
16 0 1 2 5029
16 0 4 8 4659
16 0 7 15 3174
16 0 4 8 5548
16 0 5 11 4241
16 0 7 14 5219
16 0 3 7 3479
16 0 6 13 3272
16 0 4 8 3623
16 0 2 5 4031
16 0 3 7 3305
16 0 3 7 3575
16 0 4 9 4206
16 0 7 15 4921
16 0 1 3 3418
16 0 2 5 3824
16 0 0 0 4578
16 0 1 3 3363
16 0 4 8 4052
16 0 2 5 4013
16 0 6 12 3553
16 0 6 13 4746
16 0 6 12 5129
16 0 7 15 2455
16 0 7 15 2172
16 0 4 8 3297
16 0 6 13 3006
16 0 3 7 2985
16 0 1 2 3621
16 0 0 0 3498
16 0 3 7 3084
16 0 3 7 3448
16 0 4 9 4040
16 0 2 5 3811
16 0 5 10 2675
16 0 0 1 3503
16 0 0 1 4356
16 0 2 5 3625
16 0 6 12 3407
16 0 4 9 3172
16 0 5 11 3437
16 0 5 10 3046
16 0 5 11 3912
16 0 7 15 2428
16 0 5 11 3458
16 0 6 13 3486
16 0 1 2 2810
16 0 0 0 3723
16 0 0 0 4266
16 0 7 15 2946
16 0 5 11 3258
16 0 3 6 3595
16 0 6 13 3692
16 0 1 3 3722
16 0 5 11 3576
16 0 5 11 2598
16 0 1 3 3914
16 0 2 4 5178
16 0 0 0 6004
16 0 2 5 3932
16 0 1 3 3710
16 0 7 15 5738
16 0 4 8 4091
16 0 0 0 3063
16 0 6 13 3599
16 0 0 1 2666
16 0 1 3 4557
16 0 6 13 4029
16 0 1 3 2552
16 0 2 5 2888
16 0 2 5 3373
